neighborhood,white,hispanic,black,asian,other,income
Academy Gardens ,78.2,9.1,7.9,4.7,0.1,"$50,000 to $74,999"
Airport,,,,,,
Allegheny West,4.4,2.8,87.3,2.8,2.7,"$14,185 to $49,999"
Andorra,81.8,2.5,13.7,0.5,1.5,"$50,000 to $74,999"
Aston-Woodbridge,66.3,8.7,23.1,0,1.9,"$50,000 to $74,999"
Bartram Village ,4.2,5.3,89.7,0.5,0.3,"$14,185 to $49,999"
Bella Vista,68.3,11.3,8.9,8.9,2.6,"$50,000 to $74,999"
Belmont,3.8,0,92.7,0.3,3.2,"$14,185 to $49,999"
Brewerytown,9.7,4.3,83,0.6,2.4,"$14,185 to $49,999"
Bridesburg,96.7,1.6,0.5,0.8,0.4,"$14,185 to $49,999"
Burholme,51.9,11.4,27.9,5.9,2.9,"$14,185 to $49,999"
Bustleton,69.1,6.9,8.3,13.8,1.9,"$14,185 to $49,999"
Byberry,64,7.7,23.1,3.4,1.8,"$50,000 to $74,999"
Callowhill,45,10.2,19.3,19.9,5.6,"$14,185 to $49,999"
Carroll Park,1.5,1.1,95.7,0.2,1.5,"$14,185 to $49,999"
Cedar Park,46.6,5.8,36.1,4.3,7.2,"$14,185 to $49,999"
Cedarbrook,2.1,1.2,93.3,0.5,2.9,"$14,185 to $49,999"
Center City East,40.4,7.7,18.2,30.1,3.6,"$50,000 to $74,999"
Chestnut Hill,66.8,5.8,18.3,6,3.1,"$75,000 to $99,999"
Chinatown,32,4.3,6.1,54.2,3.4,"$14,185 to $49,999"
Clearview,13.9,3.7,82,0.4,0,"$14,185 to $49,999"
Cobbs Creek,1.8,0.7,93.1,1.5,2.9,"$14,185 to $49,999"
Crescentville,6.5,22,68.6,2,0.9,"$14,185 to $49,999"
Crestmont Farms ,94.3,0.6,0,4.3,0.8,"$14,185 to $49,999"
Dearnley Park,79.1,3.5,8.1,4.9,4.4,"$50,000 to $74,999"
Dickinson Narrows,34.4,23.9,18.4,21.7,1.6,"$14,185 to $49,999"
Dunlap,1.1,0,97.5,0,1.4,"$14,185 to $49,999"
East Falls,61,4.9,21.7,8.7,3.7,"$14,185 to $49,999"
East Germantown,4.8,1.3,91,0.1,2.8,"$14,185 to $49,999"
East Kensington,50.5,27,4.2,14.5,3.8,"$14,185 to $49,999"
East Mount Airy,16.6,1.8,77.1,0.8,3.7,"$50,000 to $74,999"
East Oak Lane,9.1,4.5,71.2,10.7,4.5,"$14,185 to $49,999"
East Park ,51.1,11,12.4,12.8,12.7,"$50,000 to $74,999"
East Parkside,5.8,1.5,88.5,1.7,2.5,"$14,185 to $49,999"
East Passyunk,58.6,19.6,5.9,15.3,0.6,"$14,185 to $49,999"
East Poplar,17.3,6.7,60.9,8.3,6.8,"$14,185 to $49,999"
Eastwick,9.1,5.2,80.3,3.1,2.3,"$14,185 to $49,999"
Elmwood,6.8,1.3,83.9,7.4,0.6,"$14,185 to $49,999"
Fairhill,0.9,81.5,16,0.2,1.4,"$14,185 to $49,999"
