dispatch_date_time,text_general_code,lat,lng
2023-04-02 20:48:00+00:00,Offenses Against Family and Children,39.9328074,-75.19623158
2023-04-01 14:40:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-04-12 03:02:00+00:00,Offenses Against Family and Children,40.06384967,-75.17625482
2023-04-02 20:49:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-04-06 04:32:00+00:00,Offenses Against Family and Children,40.04231873,-75.16582122
2023-04-08 16:12:00+00:00,Offenses Against Family and Children,39.93694253,-75.17717186
2023-04-08 13:27:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-04-01 17:39:00+00:00,Offenses Against Family and Children,40.05527647,-75.19296782
2023-04-09 12:06:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-04-08 20:19:00+00:00,Offenses Against Family and Children,40.03583006,-75.1747271
2023-04-06 01:12:00+00:00,Offenses Against Family and Children,40.00522427,-75.18100327
2023-04-08 14:07:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-08 22:21:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-08 10:12:00+00:00,Offenses Against Family and Children,39.99664838,-75.17554124
2023-01-02 13:43:00+00:00,Offenses Against Family and Children,40.03520271,-75.17395349
2023-02-12 04:21:00+00:00,Offenses Against Family and Children,39.92658857,-75.16735373
2023-01-07 18:23:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-15 01:50:00+00:00,Offenses Against Family and Children,40.07719811,-75.03379971
2023-01-15 14:09:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-14 14:37:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-16 14:43:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-17 02:05:00+00:00,Offenses Against Family and Children,40.07186157,-75.16293639
2023-01-14 18:12:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-14 00:23:00+00:00,Offenses Against Family and Children,39.93438158,-75.18888209
2023-01-15 09:40:00+00:00,Offenses Against Family and Children,40.03477003,-75.14177828
2023-03-16 21:23:00+00:00,Offenses Against Family and Children,40.00041834,-75.16818128
2023-01-15 23:16:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-17 20:50:00+00:00,Offenses Against Family and Children,39.93438158,-75.18888209
2023-01-18 14:27:00+00:00,Offenses Against Family and Children,40.06707223,-75.14790828
2023-01-22 16:12:00+00:00,Offenses Against Family and Children,40.04407753,-75.16449431
2023-01-19 18:43:00+00:00,Offenses Against Family and Children,40.03655794,-75.0585704
2023-01-21 17:35:00+00:00,Offenses Against Family and Children,40.06562609,-75.14899223
2023-01-21 00:09:00+00:00,Offenses Against Family and Children,40.03294759,-75.15800138
2023-01-21 18:10:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-01-21 18:11:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-20 23:19:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-23 17:33:00+00:00,Offenses Against Family and Children,40.05845667,-75.16737781
2023-01-24 22:50:00+00:00,Offenses Against Family and Children,40.00719959,-75.15985026
2023-01-28 20:37:00+00:00,Offenses Against Family and Children,39.9559449,-75.16780504
2023-01-26 17:30:00+00:00,Offenses Against Family and Children,40.05906031,-75.17892402
2023-01-28 14:19:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-10 02:41:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-09 22:39:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-01-31 23:14:00+00:00,Offenses Against Family and Children,40.0404631,-75.17863317
2023-01-28 16:04:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-02-11 05:39:00+00:00,Offenses Against Family and Children,39.92873225,-75.1805369
2023-02-11 16:03:00+00:00,Offenses Against Family and Children,40.06634114,-75.18050402
2023-02-05 14:08:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-25 18:13:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-11 22:22:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-04 15:55:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-02-04 14:08:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-05 20:31:00+00:00,Offenses Against Family and Children,40.07357212,-75.17715541
2023-03-10 22:43:00+00:00,Offenses Against Family and Children,40.0334219,-75.17548686
2023-03-10 23:29:00+00:00,Offenses Against Family and Children,40.07407449,-75.17803007
2023-03-10 23:56:00+00:00,Offenses Against Family and Children,40.07520709,-75.17180106
2023-02-21 14:16:00+00:00,Offenses Against Family and Children,40.04672674,-75.17849261
2023-02-21 21:41:00+00:00,Offenses Against Family and Children,39.98090293,-75.18211031
2023-02-08 19:33:00+00:00,Offenses Against Family and Children,40.06632017,-75.14455635
2023-02-18 15:29:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-18 17:19:00+00:00,Offenses Against Family and Children,39.93729231,-75.17672965
2023-03-23 16:52:00+00:00,Offenses Against Family and Children,40.03082746,-75.04834793
2023-02-18 14:31:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-18 15:11:00+00:00,Offenses Against Family and Children,40.06634114,-75.18050402
2023-03-23 22:01:00+00:00,Offenses Against Family and Children,39.96843799,-75.22671217
2023-04-04 03:23:00+00:00,Offenses Against Family and Children,39.92834596,-75.15213332
2023-04-03 22:46:00+00:00,Offenses Against Family and Children,40.02237091,-75.07816588
2023-02-26 18:33:00+00:00,Offenses Against Family and Children,40.07357212,-75.17715541
2023-03-11 19:38:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-26 23:33:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-11 18:41:00+00:00,Offenses Against Family and Children,39.93729231,-75.17672965
2023-03-11 15:21:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-02-06 19:09:00+00:00,Offenses Against Family and Children,40.0404631,-75.17863317
2023-03-07 03:31:00+00:00,Offenses Against Family and Children,39.98932063,-75.12643699
2023-02-07 01:35:00+00:00,Offenses Against Family and Children,40.08323168,-75.02597088
2023-03-24 22:19:00+00:00,Offenses Against Family and Children,40.07520709,-75.17180106
2023-02-25 22:38:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-18 13:29:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-18 14:08:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-18 17:38:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-03-19 02:19:00+00:00,Offenses Against Family and Children,40.0394735,-75.07739755
2023-03-27 16:16:00+00:00,Offenses Against Family and Children,40.0358004,-75.03872255
2023-03-27 18:11:00+00:00,Offenses Against Family and Children,40.04443512,-75.14354968
2023-02-24 12:54:00+00:00,Offenses Against Family and Children,39.99088981,-75.09121839
2023-02-24 23:35:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-24 22:40:00+00:00,Offenses Against Family and Children,40.07357212,-75.17715541
2023-02-24 21:28:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-25 02:31:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-28 17:22:00+00:00,Offenses Against Family and Children,40.04449761,-75.17960822
2023-03-26 23:41:00+00:00,Offenses Against Family and Children,40.06429874,-75.17372811
2023-02-10 23:50:00+00:00,Offenses Against Family and Children,40.04615071,-75.17216533
2023-02-10 23:47:00+00:00,Offenses Against Family and Children,40.07407449,-75.17803007
2023-02-10 16:27:00+00:00,Offenses Against Family and Children,40.05622697,-75.14948023
2023-03-20 17:23:00+00:00,Offenses Against Family and Children,40.04096866,-75.18554864
2023-03-04 16:00:00+00:00,Offenses Against Family and Children,40.06634114,-75.18050402
2023-03-04 23:00:00+00:00,Offenses Against Family and Children,40.07357212,-75.17715541
2023-02-20 14:30:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-20 22:12:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-20 17:48:00+00:00,Offenses Against Family and Children,40.04416854,-75.16371952
2023-02-27 23:23:00+00:00,Offenses Against Family and Children,40.06374719,-75.15941838
2023-02-12 14:16:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-02-12 19:54:00+00:00,Offenses Against Family and Children,40.04834101,-75.16011094
2023-02-12 18:48:00+00:00,Offenses Against Family and Children,39.97618132,-75.18203145
2023-02-27 18:25:00+00:00,Offenses Against Family and Children,40.00023215,-75.11774121
2023-03-19 13:23:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-03 16:06:00+00:00,Offenses Against Family and Children,40.04616995,-75.16884279
2023-03-03 22:12:00+00:00,Offenses Against Family and Children,40.07357212,-75.17715541
2023-02-24 00:28:00+00:00,Offenses Against Family and Children,40.03718761,-75.16841878
2023-03-25 16:34:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-04-08 16:05:00+00:00,Offenses Against Family and Children,40.06365679,-75.15411254
2023-03-25 21:09:00+00:00,Offenses Against Family and Children,40.03843178,-75.17695764
2023-03-25 16:16:00+00:00,Offenses Against Family and Children,39.93729231,-75.17672965
2023-04-13 21:35:00+00:00,Offenses Against Family and Children,39.99566214,-75.12637637
2023-04-14 22:19:00+00:00,Offenses Against Family and Children,39.9372453,-75.17671342
2023-04-13 23:11:00+00:00,Offenses Against Family and Children,40.04528675,-75.17842982
2023-03-27 17:59:00+00:00,Offenses Against Family and Children,40.007693,-75.09917807
2023-04-16 13:12:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-08 19:47:00+00:00,Offenses Against Family and Children,40.00240696,-75.17820226
2023-04-13 03:17:00+00:00,Offenses Against Family and Children,40.0654182,-75.15168507
2023-04-15 13:57:00+00:00,Offenses Against Family and Children,40.06427109,-75.15472876
2023-04-22 15:34:00+00:00,Offenses Against Family and Children,40.06427109,-75.15472876
2023-04-19 12:52:00+00:00,Offenses Against Family and Children,40.05091895,-75.14166336
2023-04-28 22:57:00+00:00,Offenses Against Family and Children,40.07437752,-75.20364097
2023-04-17 21:01:00+00:00,Offenses Against Family and Children,40.03733323,-75.17572601
2023-04-30 22:52:00+00:00,Offenses Against Family and Children,40.0782302,-75.18154471
2023-04-22 19:54:00+00:00,Offenses Against Family and Children,40.01716746,-75.13733164
2023-05-01 23:23:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-02 01:14:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-23 13:04:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-27 19:11:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-30 20:13:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-22 19:17:00+00:00,Offenses Against Family and Children,40.04496006,-75.17223794
2023-05-01 11:37:00+00:00,Offenses Against Family and Children,40.0457621,-75.17188012
2023-04-29 14:21:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-30 13:05:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-22 13:16:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-04-22 14:31:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-17 08:10:00+00:00,Offenses Against Family and Children,39.96773242,-75.23032791
2023-05-06 16:12:00+00:00,Offenses Against Family and Children,40.06427109,-75.15472876
2023-05-10 20:06:00+00:00,Offenses Against Family and Children,40.0461855,-75.19683499
2023-05-15 20:30:00+00:00,Offenses Against Family and Children,40.0461855,-75.19683499
2023-05-13 23:25:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-13 14:04:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-07 20:23:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-05 23:28:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-12 15:11:00+00:00,Offenses Against Family and Children,40.04560415,-75.18175847
2023-05-02 14:56:00+00:00,Offenses Against Family and Children,39.99452627,-75.15064705
2023-04-23 18:10:00+00:00,Offenses Against Family and Children,39.9989353,-75.1131956
2023-05-13 14:25:00+00:00,Offenses Against Family and Children,39.92333964,-75.18640855
2023-05-29 03:31:00+00:00,Offenses Against Family and Children,40.06739643,-75.1765021
2023-05-13 16:38:00+00:00,Offenses Against Family and Children,39.9372453,-75.17671342
2023-05-01 13:08:00+00:00,Offenses Against Family and Children,40.06919644,-75.15822989
2023-05-21 04:14:00+00:00,Offenses Against Family and Children,39.98988414,-75.12545432
2023-05-20 18:00:00+00:00,Offenses Against Family and Children,40.0332248,-75.17649636
2023-05-27 16:32:00+00:00,Offenses Against Family and Children,40.03832424,-75.17711446
2023-05-29 21:20:00+00:00,Offenses Against Family and Children,40.04807006,-75.17730434
2023-05-15 23:31:00+00:00,Offenses Against Family and Children,40.08306743,-75.17711499
2023-05-28 13:24:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-28 16:26:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-05-26 22:20:00+00:00,Offenses Against Family and Children,39.9372453,-75.17671342
2023-05-29 23:16:00+00:00,Offenses Against Family and Children,40.08047778,-75.17260199
2023-05-28 02:41:00+00:00,Offenses Against Family and Children,39.99576922,-75.13325211
2023-05-10 23:02:00+00:00,Offenses Against Family and Children,40.02988755,-75.15807496
2023-06-03 23:30:00+00:00,Offenses Against Family and Children,40.04496006,-75.17223794
2023-06-04 23:18:00+00:00,Offenses Against Family and Children,39.97881911,-75.15998353
2023-05-22 03:43:00+00:00,Offenses Against Family and Children,40.08743696,-75.04500374
2023-05-18 23:58:00+00:00,Offenses Against Family and Children,40.06830982,-75.15937728
2023-06-18 14:45:00+00:00,Offenses Against Family and Children,39.94926297,-75.23271558
2023-05-15 19:01:00+00:00,Offenses Against Family and Children,40.02077844,-75.08390806
2023-05-22 19:43:00+00:00,Offenses Against Family and Children,40.06036993,-75.02866055
2023-05-21 03:18:00+00:00,Offenses Against Family and Children,40.06306823,-75.14519661
2023-06-09 07:32:00+00:00,Offenses Against Family and Children,39.9483974,-75.20907739
2023-06-10 16:19:00+00:00,Offenses Against Family and Children,39.93704585,-75.17677533
2023-06-09 18:19:00+00:00,Offenses Against Family and Children,40.06987289,-75.1656583
2023-06-16 20:38:00+00:00,Offenses Against Family and Children,40.07739482,-75.20906484
2023-06-11 23:01:00+00:00,Offenses Against Family and Children,40.04521303,-75.18424908
2023-06-15 18:46:00+00:00,Offenses Against Family and Children,40.03261233,-75.15803071
2023-05-28 13:54:00+00:00,Offenses Against Family and Children,40.00637116,-75.12567115
2023-06-10 14:32:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-06-11 13:19:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-06-17 13:20:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-06-22 23:08:00+00:00,Offenses Against Family and Children,40.04685411,-75.05840697
2023-06-25 00:29:00+00:00,Offenses Against Family and Children,40.06069971,-75.18054446
2023-06-07 00:17:00+00:00,Offenses Against Family and Children,40.05847568,-75.1615095
2023-06-18 23:24:00+00:00,Offenses Against Family and Children,40.04670828,-75.18075879
2023-06-17 00:20:00+00:00,Offenses Against Family and Children,40.0712687,-75.16223449
2023-06-23 06:13:00+00:00,Offenses Against Family and Children,39.98822225,-75.11173424
2023-06-16 09:59:00+00:00,Offenses Against Family and Children,39.95596077,-75.21945851
2023-06-24 18:30:00+00:00,Offenses Against Family and Children,40.02832903,-75.05456313
2023-06-23 23:09:00+00:00,Offenses Against Family and Children,40.03845329,-75.16079122
2023-06-21 23:16:00+00:00,Offenses Against Family and Children,40.0628919,-75.1959997
2023-06-23 23:29:00+00:00,Offenses Against Family and Children,39.93704585,-75.17677533
2023-07-02 17:32:00+00:00,Offenses Against Family and Children,39.9351991,-75.17827619
2023-06-18 23:10:00+00:00,Offenses Against Family and Children,39.9372453,-75.17671342
2023-06-20 01:30:00+00:00,Offenses Against Family and Children,39.9372453,-75.17671342
2023-06-23 21:24:00+00:00,Offenses Against Family and Children,40.03262805,-75.16912398
2023-07-08 13:22:00+00:00,Offenses Against Family and Children,40.03832424,-75.17711446
2023-06-22 16:42:00+00:00,Offenses Against Family and Children,40.08051979,-75.1717175
2023-07-02 16:05:00+00:00,Offenses Against Family and Children,39.93683021,-75.17701478
2023-06-29 07:16:00+00:00,Offenses Against Family and Children,39.99143712,-75.1225616
2023-06-22 12:45:00+00:00,Offenses Against Family and Children,40.07214536,-75.19168975
2023-06-24 16:59:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-06-24 21:54:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
2023-06-24 13:27:00+00:00,Offenses Against Family and Children,40.0513323,-75.1787927
2023-06-27 00:44:00+00:00,Offenses Against Family and Children,40.07342475,-75.1778604
2023-06-29 04:06:00+00:00,Offenses Against Family and Children,40.0263879,-75.06551547
2023-06-30 05:09:00+00:00,Offenses Against Family and Children,40.03194198,-75.15870098
2023-06-30 15:18:00+00:00,Offenses Against Family and Children,40.06644002,-75.16647951
2023-06-28 15:24:00+00:00,Offenses Against Family and Children,39.92583818,-75.22868804
2023-06-25 17:19:00+00:00,Offenses Against Family and Children,40.06846217,-75.1526781
2023-07-04 00:08:00+00:00,Offenses Against Family and Children,40.06817534,-75.16312145
2023-07-08 14:27:00+00:00,Offenses Against Family and Children,40.03780208,-75.17763678
