school_name,address,lat,lng
Adaire Elementary School,"1300 E Palmer St, Philadelphia, PA 19125",39.972382,-75.129494
Dr. Ethel D. Allen School,"3200 W Lehigh Ave, Philadelphia, PA 19132",39.997551,-75.183571
Ethan Allen School,"6329 Battersby St, Philadelphia, PA 19149",40.03033,-75.06191
Add B. Anderson School,"1034 S 60th St, Philadelphia, PA 19143",39.946861,-75.245018
Chester A. Arthur School,"2000 Catharine St, Philadelphia, PA 19146",39.94194,-75.17569
Bache-Martin School,"2201 Brown St, Philadelphia, PA 19130",39.969687,-75.173998
Clara Barton School,"300 E. Wyoming Ave., Philadelphia, PA 19120",40.020803,-75.118968
Benjamin Franklin School,"5735 Rising Sun Ave, Philadelphia, PA 19120",40.0420342,-75.1054763
Mary McLeod Bethune School,"3301 Old York Rd, Philadelphia, PA 19140",40.002827,-75.148722
James G. Blaine School,"3001 W Berks St, Philadelphia, PA 19121",39.9849692,-75.1830703
Blankenburg Elementary School,"4600 W Girard Ave, Philadelphia, PA 19131",39.97265625,-75.21509552
Bregy Elementary School,"1700 Bigler St, Philadelphia, PA 19145",39.914713,-75.17619
Bridesburg Elementary School,"2824 Jenks St, Philadelphia, PA 19137",40.0001376,-75.0662123
Henry A. Brown Elementary School,"1946 E Sergeant St, Philadelphia, PA 19125",39.9866252,-75.1272725
J.H. Brown School,"3600 Stanwood St, Philadelphia, PA 19136",40.043828,-75.024555
W. C. Bryant Promise Academy,"60th St &, Cedar Ave, Philadelphia, PA 19143",39.952432,-75.242753
Laura H. Carnell Elementary School,"1100 Devereaux Ave, Philadelphia, PA 19111",40.038753,-75.083243
Catharine Elementary School,"6600 Chester Ave, Philadelphia, PA 19142",39.927982,-75.235358
Cayuga Elementary School,"4344 N 5th St, Philadelphia, PA 19140",40.014478,-75.13974
Fox Chase School,"500 Rhawn St, Philadelphia, PA 19111",40.061159,-75.070572
G.W. Childs Elementary School,"1599 Wharton St, Philadelphia, PA 19146",39.937889,-75.167051
Comegys Elementary School,"5100 Greenway Ave, Philadelphia, PA 19143",39.955305,-75.227656
Comly Elementary School,"1001 Byberry Rd, Philadelphia, PA 19116",40.115381,-75.015212
"Cooke, Jay School","1300 W Loudon St, Philadelphia, PA 19141",40.028588,-75.145336
Cook-Wissahickon School,"201 E Salaignac St, Philadelphia, PA 19128",40.034585,-75.220086
Fanny Jackson Coppin School,"1213 S 12th St, Philadelphia, PA 19147",39.934305,-75.161974
Cramp Elementary School,"3449 N Mascher St, Philadelphia, PA 19140",40.007219,-75.14253
Crossroads Academy At Hunting Park,"4224 N Front St, Philadelphia, PA 19140",40.011189,-75.130743
Anna Blakiston Day School,"6324 Crittenden St, Philadelphia, PA 19138",40.045757,-75.155681
Julia De Burgos Elementary,"401 W Lehigh Ave, Philadelphia, PA 19133",39.999123,-75.128726
Stephen Decatur Elementary,"3500 Academy Rd, Philadelphia, PA 19154",40.048772,-74.988939
William Dick School,"2498 W Diamond St, Philadelphia, PA 19121",39.983877,-75.179956
Disston Elementary School,"6801 Cottage St, Philadelphia, PA 19135",40.037744,-75.045736
James Dobson Elementary School,"4667 Umbria St, Philadelphia, PA 19127",40.023914,-75.229109
Dr. Tanner G. Duckrey Public School,"1501 W Diamond St, Philadelphia, PA 19121",39.983524,-75.158374
Paul L Dunbar School,"1750 N 12th St, Philadelphia, PA 19122",39.983573,-75.155736
Franklin S Edmonds School,"8025 Thouron Ave, Philadelphia, PA 19150",40.068409,-75.172677
Fitler Academics Plus School,"140 W Seymour St, Philadelphia, PA 19144",40.029113,-75.167274
Lewis Elkin Elementary School,"3199 D St, Philadelphia, PA 19134",39.997289,-75.101099
Ellwood School,"6701 N 13th St, Philadelphia, PA 19126",40.051868,-75.143422
Emlen Elementary School,"6501 Chew Ave, Philadelphia, PA 19119",40.040165,-75.178095
Farrell Elementary School,"8300 Castor Ave, Philadelphia, PA 19152",40.062996,-75.054207
D. Newlin Fell School,"900 Oregon Ave #4599, Philadelphia, PA 19148",39.915665,-75.167194
Feltonville Intermediate,"238 E Wyoming Ave, Philadelphia, PA 19120",40.020755,-75.115228
Aloysius L. FitzPatrick School,"11061 Knights Rd, Philadelphia, PA 19154",40.068387,-74.991308
Forrest Elementary School,"7300 Cottage St, Philadelphia, PA 19136",40.048689,-75.042252
Anne Frank Elementary School,"2000 Bowler St, Philadelphia, PA 19115",40.059152,-75.061077
Gideon Edward School,"2817 W Glenwood Ave, Philadelphia, PA 19121",39.982743,-75.189475
Stephen Girard School,"1800 Snyder Ave, Philadelphia, PA 19145",39.921883,-75.168252
