station_name,address,lat,lng
63rd Street Station,Market St & 63rd St,39.96270444974103, -75.24675350308678
60th Street Station,Market St & 60th St,39.96198549548247, -75.24078639659854
56th Street Station,Market St & 56th St,39.960989341475724, -75.23287545979167
52nd Street Station,Market St & 52nd St,39.960053809766386, -75.22487411232656
46th Street Station,Market St & 46th St,39.958674992385255, -75.21404535786944
40th Street Station,Market St & 40th St,39.95718237801995, -75.20194834845265
34th Street Station,Market St & 34th St,39.95587318663337, -75.19148312963979
30th Street Station,3001 John F Kennedy Blvd,39.95484749689851, -75.18342208287342
15th Street Station,1500 Market St,39.95262335800435, -75.16521114514057
13th Street Station,1300 Market St,39.95217141129062, -75.16148902549972
11th Street Station,11th St & Market St,39.951751190533635, -75.1583315444712
8th Street Station,8th St & Market St,39.95116287713609, -75.15358435958558
5th Street Station,5th St & Market St,39.95058024985381, -75.14895054142224
2nd Street Station,2nd St & Market St,39.94993997700652, -75.14372669065109
Spring Garden Station,300 Spring Garden St,39.960532660840435, -75.14046842726187
Girard Station,2225 Market St,39.96927535621952, -75.13621871839067
Berks Station,Berks St & Front St,39.97869201847302, -75.13351675304835
York-Dauphin Station,York St & Dauphin St,39.98514892815377, -75.13217296572067
Huntingdon Station,Huntingdon St & Kensington Ave,39.988838317017326, -75.12724574568742
Somerset Station,Somerset St & Kensington Ave,39.991476536713456, -75.12259848163855
Allegheny Station,Allegheny Ave & Kensington Ave,39.99625284918255, -75.11384854616435
Tioga Station,Tioga St & Kensington Ave,40.00036493867832, -75.1063802767364
Erie-Torresdale Station,Erie Ave & Torresdale Ave,40.00589067690057, -75.09632357286802
Church Station,Church St & Margaret St,40.01047344986785, -75.08902503674744
Margaret-Orthodox Station,Margaret St & Orthodox St,40.01659857452345, -75.08377613107402
Fern Rock Transportation Center,11th St & Nedro Ave,40.04184110842348, -75.1368592441691
Olney Transportation Center,5600 N Broad St,40.03904555141706, -75.14471273038352
Wyoming Station,Broad St & Wyoming Ave,40.02455360299985, -75.1479279056839
Hunting Park Station,Broad St & Hunting Park Ave,40.016906805465176, -75.14953736501502
Erie Station,Broad St & Erie Ave,40.00923399282712, -75.15116324745902
Allegheny Station,Broad St & Allegheny Ave,40.001497415091976, -75.15306832180241
North Philadelphia Station,Broad St & Lehigh Ave,39.994338727436734, -75.15441501225504
Susquehanna-Dauphin Station,Broad St & W Dauphin St,39.98705600495593, -75.1560434805455
Cecil B. Moore Station,Broad St & Cecil B. Moore Ave,39.97872891303648, -75.15786725444082
Girard Station,Broad St & Girard Ave,39.971467599414595, -75.15944182102909
Fairmount Station,Broad St & Fairmount Ave,39.96661911184176, -75.16055713904521
Spring Garden Station,Broad St & Spring Garden St,39.962316605598915, -75.1614805133121
Race-Vine Station,Broad St & Vine St,39.957908238619034, -75.16243349963801
City Hall Station,1400 Arch St,39.95238767503243, -75.16360334002914
Walnut-Locust Station,Broad St & Walnut St,39.949345283250366, -75.16426633150913
Lombard-South Station,Broad St & South St,39.94364850471688, -75.16554143867823
Ellsworth-Federal Station,Broad St & Federal St,39.93616444165779, -75.16713532264292
Tasker-Morris Station,Broad St & Tasker St,39.929800658643494, -75.1685203528838
Snyder Station,Broad St & Snyder Ave,39.92438044048665, -75.16970752164356
Oregon Station,Broad St & Oregon Ave,39.91680153114056, -75.1713563671181
NRG Station,3601 S Broad St,39.905435810453476, -75.17392856614624
